2016-04-05:13:14:11[LOG_ERROR]G:/gopath/src/github.com/Bulesxz/clienttest/clienttest.go:18 |frhtynh
2016-04-05:13:14:13[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:89 |timeout
2016-04-05:13:14:13[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:89 |timeout
2016-04-05:13:14:13[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:89 |timeout
2016-04-05:13:14:13[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:89 |timeout
2016-04-05:13:14:13[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:89 |timeout
2016-04-05:13:14:13[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:89 |timeout
2016-04-05:13:14:13[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:89 |timeout
2016-04-05:13:14:13[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:89 |timeout
2016-04-05:13:14:13[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:89 |timeout
2016-04-05:13:14:13[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:89 |timeout
2016-04-05:13:14:13[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:114 |!ok 关闭 this.recvBuf
2016-04-05:13:14:13[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:114 |!ok 关闭 this.recvBuf
2016-04-05:13:14:13[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:114 |!ok 关闭 this.recvBuf
2016-04-05:13:14:13[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:114 |!ok 关闭 this.recvBuf
2016-04-05:13:14:13[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:114 |!ok 关闭 this.recvBuf
2016-04-05:13:14:13[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:114 |!ok 关闭 this.recvBuf
2016-04-05:13:14:13[LOG_INFO]G:/gopath/src/github.com/Bulesxz/go/net/client.go:114 |!ok 关闭 this.recvBuf
